عيد	[Feast]
برد قارس	[Cold]
نهر	[River]
شلال	[Waterfalls]
بحر	[Sea]
فقير	[Poor]
فاتورة	[Bill]
دكان - متجر	[Shop/store]
محاسبة	[Accounting]
ميكانيكي	[Mechanic]
أخصائي الصدر	[Pneumologist]
أخصائي العيون	[Ophthalmologist]
أخصائي المعدة	[Gastroenterologist]
أخصائي الولادة	[Gynecologist]
رئيس الخدم	[Butler]
راعي البقر	[Cowboy]
ربان الطائرة	[Pilot]
زيادة الأجور	[Salary raising/raise]
سائق	[Driver]
تسريح	[Firing]
مطبعة	[Printing]
أكل	[Eat]
فطور	[Breakfast]
وجبة الغذاء	[Lunch]
وجبة العشاء	[Dinner]
بصل	[Onions]
جلبانة	[Peas]
حلو	[Sweet]
حلوى عيد الميلادي	[Birthday cake]
قوق	[Artichot]
لوز	[Almonds]
ليبتون	[Lipton tea]
دانون	[Yogurt]
هلالية	[Crescent]
جائع	[Hungry]
شكولاطة	[Chocolate]
ذاق	[Taste]
لذيذ	[Delicious]
شبع	[Satiation]
عصير	[Juice]
علبة سمك	[Fish can/tin]
حلوى	[Cake]
الله	[Allah]
ديانات	[Religions]
إسلام	[Islam]
مسلمون	[Muslim people]
مسيحية	[Christianity]
يهودية	[Jewish]
قرآن	[Koran]
تجويد	[Chanting/tajwid]
ركع	[Kneel]
سورة	[Verse]
آية كريمة	[Holy verse]
أركان الإسلام	[Pillars of Islam]
تشهد	[Testify]
الرسول	[The prophet]
إمام	[Imam/priest]
مسجد	[Mosque]
كنيسة	[Church]
مؤذن	[Prayer caller]
محراب	[Prayer niche/Mihrab]
الوقوف بعرفة	[Arafa Day]
صلاة	[Prayer]
صلاة الفجر	[Dawn prayer]
عدد	[Number]
لباس	[Garment/clothes]
نزع اللباس	[Take off/undress]
قميص بعنق ملفوف	[Turtle neck]
زر	[Button]
سد الأزرار	[Buttoning]
سروال	[Pants/trousers]
سروال قصير	[Shorts]
حزام	[Belt]
قميص	[Shirt]
سروال دجين	[Jeans]
ربطة عنق	[Tie]
قبعة عصرية	[Cap]
بذلة	[Suit]
معطف	[Coat]
سوار	[Bracelet]
قفاز	[Glove]
وشاح - كشكول	[Scarf]
حذاء	[Shoes]
جورب	[Sock]
نظارات	[Glasses]
نعل	[Shoe]
مدرسة	[School]
امتحان - اختبار	[Exam]
ابتدائي	[Elementary]
بركار	[Volcano]
تربية	[Education]
تعليم	[Tutoring/education]
أستاذ - مدرس	[Teacher/tutor]
كتب	[Books]
طالب	[Student]
قلم ملون	[Crayon]
لغة برايل	[Braille]
قراءة	[Reading]
كتاب	[Book]
ركز	[Concentrate]
طالب داخلي	[Boarder]
علوم	[Science]
قلم حبر	[Pen]
قلم الرصاص	[Pencil]
ممحاة	[Eraser/rubber]
مسح	[Erase]
ألصق	[Glue]
ملك	[King]
ولي العهد	[Crown prince]
أمير	[Prince]
أميرة	[Princess]
العائلة الملكية	[Royal family]
القصر الملكي	[Royal palace]
الخطاب الملكي	[Royal speech]
حكومة	[Gevernment]
الوزير الأول	[Prime minister]
قانون	[Law]
مؤسسة محمد الخامس	[Mohamed 6th Foundation]
مركز الشرطة	[Police station]
وزير	[Minister]
المجلس الوزاري	[Ministery council]
المجلس الحكومي	[Governmental council]
السنة التشريعية	[Legeslative year]
برلمان	[Parliament]
سفارة	[Embassy]
ضمان إجتماعي	[Social insurance]
انتخاب - اقتراع	[Election]
نظيف	[Clean]
وسخ	[Dirty]
حر - طليق	[Free]
سهل	[Easy]
صعب	[Difficult]
أنيق	[Elegant]
بارز	[Clear]
ساه	[Absent-minded]
مماثل	[Similar]
متعب	[Tired]
محايد	[Neutral]
معتاد	[Used to]
مماثل	[Similar]
مريض	[Sick]
منتهي الصلاحية	[Expired]
نتن	[Stinky]
سعيد	[Happy]
عادي	[Usual]
بالي	[Old/worn out]
قاس	[Harsh]
أغمض	[Close]
أقسم	[Swear]
أوقع	[Drop]
تاه	[Lost]
شنق	[Hang up]
صبغ الأظافر	[Nail polish]
صفق	[Applaud]
مزق	[Tear]
نسخ	[Copy]
نفخ	[Blow]
نوم	[Sleeping]
ضرب	[Beat]
ضاع	[Lost]
عطش - ظمأ	[Thirst]
جريمة	[Crime]
مات	[Die]
سمع	[Hear]
نام	[Sleep]
لحق	[Catch up with]
معا	[Together]
فرق	[Difference]
ماضي	[Past]
فتح	[Open]
لمس	[Touch]
أطروحة	[Thesis]
أنتن	[You]
مغلق	[Close]
مزج	[Mix]
ماذا يحدث	[What's up]
شيء	[Thing/stuff]
أصبح	[Become]
وضع	[Put]
ترك - تخلى	[Let]
دعني	[Let me]
أسس - بنى	[Construct/build]
نقل	[Transport]
غادر	[Leave]
بترول	[Oil]
أسطوانة	[Disc]
سجارة	[Cigarette]
عداد	[Counter]
عربة رضيع	[Baby stroller]
عطر	[Parfume]
علم - راية	[Flag]
منبه السيارات	[Horn]
سماعة	[Phone]
قرص مدمج	[Disc]
قنديل	[Lamp]
قنينة غاز	[Gaz bottle]
ماء الورد	[Rose water]
مبرد الأظافر	[Nail clipper]
مجمر	[Mejmar/traditional oven]
محراث	[Plow]
مظلة	[Umbrella]
معطر الجو	[Deodorant]
مغناطيس	[Magnet]
قرب	[Near]
شجرة	[Tree]
جرى - عدا	[Run]
قبض	[Catch/arrest]
اختبأ	[Hide]
صرخ	[Yell]
صغير	[Small]
اعتذر	[Apologize]
رف	[Roof]
صابون	[Soap]
جلس	[Sit down]
أثاث	[Furniture]
جائزة	[Prize]
حاضر	[Present]
حسب	[Catculate]
خطأ	[Mistake]
قرأ - تلا	[Read]
